City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
81,Taksimo,RU,56.34,114.88,52.3,75,94,1.32,overcast clouds
82,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,74.95,82,99,8.66,overcast clouds
83,Hobyo,SO,5.35,48.53,76.33,81,78,26.11,broken clouds
84,Mataura,NZ,-46.19,168.86,48.99,97,76,1.99,broken clouds
85,Lorengau,PG,-2.02,147.27,82.83,71,46,8.93,scattered clouds
86,Olafsvik,IS,64.89,-23.71,52.56,64,0,15.82,clear sky
87,Salinas,US,36.68,-121.66,78.01,53,1,12.75,haze
88,Barrow,US,71.29,-156.79,48.2,93,90,9.17,fog
89,Taoudenni,ML,22.68,-3.98,105.06,8,43,9.82,scattered clouds
90,Cockburn Town,TC,21.46,-71.14,87.8,66,40,14.99,scattered clouds
91,Nyimba,ZM,-14.56,30.81,70.52,50,0,12.59,clear sky
92,Saint George,US,37.1,-113.58,105.01,17,1,10.51,clear sky
93,Acapulco,MX,16.86,-99.89,86.0,74,40,4.7,scattered clouds
94,Urumqi,CN,43.8,87.6,71.6,46,100,8.95,overcast clouds
95,Nanortalik,GL,60.14,-45.24,48.27,65,0,0.98,clear sky
96,Mao,ES,39.89,4.27,80.6,88,20,4.7,few clouds
97,Marystown,CA,47.17,-55.15,63.81,70,87,13.53,overcast clouds
98,Oktyabrskiy,RU,54.48,53.47,49.91,94,40,4.5,scattered clouds
99,Maine-Soroa,NE,13.21,12.02,82.9,60,82,8.16,broken clouds
100,Ancud,CL,-41.87,-73.82,53.01,71,0,5.82,clear sky
101,Norman Wells,CA,65.28,-126.83,64.4,55,75,17.22,broken clouds
102,Ribeira Grande,PT,38.52,-28.7,71.6,73,75,3.36,broken clouds
103,Guerrero Negro,MX,27.98,-114.06,96.8,37,11,28.19,few clouds
104,Katsuura,JP,35.13,140.3,78.8,100,20,3.36,few clouds
105,Kaitangata,NZ,-46.28,169.85,46.0,90,84,7.0,broken clouds
